dataset,model,seed,budget,post_lambda,post_util_loss,post_delta_F_out,post_F_out,post_Tail,pre_label,pre_family,pre_util_loss,pre_OutputGain,pre_F_out,pre_Tail,pre_InputGain
lastfm,lightgcn,0,0.01,0.5,0.014699298279119683,0.04596602972399155,0.8250700921103947,0.01597664543524416,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492
lastfm,lightgcn,0,0.025,1.0,0.021644207102883995,0.06576433121019121,0.8052717906241951,0.01884288747346072,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492
lastfm,lightgcn,0,0.05,1.0,0.021644207102883995,0.06576433121019121,0.8052717906241951,0.01884288747346072,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492
lastfm,lightgcn,0,0.1,1.0,0.021644207102883995,0.06576433121019121,0.8052717906241951,0.01884288747346072,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492
lastfm,lightgcn,1,0.01,0.5,0.008857005147692795,0.04187898089171971,0.8302187120679319,0.015339702760084926,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104
lastfm,lightgcn,1,0.025,0.9,0.015247114331428372,0.05865180467091291,0.8134458882887386,0.017091295116772823,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104
lastfm,lightgcn,1,0.05,0.9,0.015247114331428372,0.05865180467091291,0.8134458882887386,0.017091295116772823,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104
lastfm,lightgcn,1,0.1,0.9,0.015247114331428372,0.05865180467091291,0.8134458882887386,0.017091295116772823,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104
lastfm,lightgcn,2,0.01,0.25,0.010454103049213237,0.029511677282378024,0.8397728521953203,0.014861995753715499,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711
lastfm,lightgcn,2,0.025,0.5,0.029944105383293715,0.04723991507430991,0.8220446144033884,0.016985138004246284,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711
lastfm,lightgcn,2,0.05,1.0,0.03863566531246159,0.06884288747346068,0.8004416420042376,0.019585987261146496,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711
lastfm,lightgcn,2,0.1,1.0,0.03863566531246159,0.06884288747346068,0.8004416420042376,0.019585987261146496,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711
lastfm,ngcf,0,0.01,0.1,0.012146687756700456,0.03917197452229293,0.8169490730021145,0.013906581740976646,kl_lam8.0,kl,0.013265896774041,0.000212314225053,0.8559087332993544,0.0066348195329087,0.0392077642902811
lastfm,ngcf,0,0.025,0.25,0.024046116961499078,0.05594479830148624,0.8001762492229212,0.017834394904458598,legacy_a0.2,legacy,0.028230777210862,0.006475583864119,0.8496454636602884,0.0084925690021231,0.1325571013296966
lastfm,ngcf,0,0.05,0.5,0.04677362222744997,0.09363057324840762,0.7624904742759998,0.021602972399150742,kl_lam2.0,kl,0.038498779929959,0.0058917197452229,0.8502293277791845,0.0094479830148619,0.1677256560444632
lastfm,ngcf,0,0.1,1.0,0.08585395954700889,0.146656050955414,0.7094649965689934,0.02521231422505308,kl_lam0.5,kl,0.1112280692035369,0.0178343949044585,0.8382866526199488,0.0111995753715498,0.3875019064414419
lastfm,ngcf,1,0.01,0.1,0.008107992719774441,0.038800424628450014,0.8136051239575285,0.013906581740976646,legacy_a0.1,legacy,0.0121662451220782,0.0033439490445859,0.8490615995413926,0.00828025477707,0.0629938730894987
lastfm,ngcf,1,0.025,0.25,0.01980444552919252,0.05668789808917196,0.7957176504968065,0.018099787685774946,legacy_a0.2,legacy,0.0282195438644177,0.0075902335456474,0.844815315040331,0.0091295116772823,0.1322930568850213
lastfm,ngcf,1,0.05,0.75,0.05911818899681831,0.1283439490445859,0.7240615995413926,0.025,kl_lam2.0,kl,0.0392440576265663,0.0077494692144373,0.8446560793715412,0.0086518046709129,0.1678646939117058
lastfm,ngcf,1,0.1,1.0,0.06883584825585354,0.15026539278131623,0.7021401558046623,0.02526539278131635,kl_lam0.5,kl,0.0959226833298668,0.0194267515923566,0.8329787969936219,0.0125796178343949,0.3876643920727339
lastfm,ngcf,2,0.01,0.1,0.009781694094650965,0.04049893842887475,0.8151444020891633,0.015339702760084926,legacy_a0.2,legacy,0.011968413008585,0.0096602972399151,0.8459830432781229,0.0101380042462845,0.1323946669345214
lastfm,ngcf,2,0.025,0.25,0.020012804000245146,0.05790870488322719,0.7977346356348108,0.019851380042462844,kl_lam2.0,kl,0.0234446189798951,0.0086518046709129,0.846991535847125,0.0104564755838641,0.1678791863021119
lastfm,ngcf,2,0.05,0.5,0.04109893812872715,0.09702760084925688,0.7586157396687812,0.024203821656050957,legacy_a0.4,legacy,0.0423997703474057,0.0192144373673036,0.8364289031507344,0.0091825902335456,0.2571152872796564
lastfm,ngcf,2,0.1,1.0,0.072986676317204,0.14851380042462847,0.7071295400934096,0.0279723991507431,legacy_a0.8,legacy,0.0960062695544505,0.0211783439490446,0.8344649965689934,0.0093949044585987,0.5043853412477096
ml1m,lightgcn,0,0.01,0.1,0.04226790866838624,0.12033112582781447,0.6703495356020559,0.005049668874172185,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061
