dataset,model,budget,mean_pre_OutputGain,mean_post_delta_F_out,mean_post_F_out,n
lastfm,lightgcn,0.01,0.05575017692852086,0.039118895966029736,0.8316872187912155,3
lastfm,lightgcn,0.025,0.05575017692852086,0.057218683651804665,0.8135874311054407,3
lastfm,lightgcn,0.05,0.05575017692852086,0.06441967445152157,0.8063864403057238,3
lastfm,lightgcn,0.1,0.05575017692852086,0.06441967445152157,0.8063864403057238,3
lastfm,ngcf,0.01,0.004405520169851333,0.03949044585987253,0.8152328663496021,3
lastfm,ngcf,0.025,0.007572540693559767,0.056847133757961736,0.7978761784515128,3
lastfm,ngcf,0.05,0.010951875442321268,0.10633404104741677,0.7483892711620578,3
lastfm,ngcf,0.1,0.0194798301486199,0.14847841472045287,0.7062448974890218,3
ml1m,lightgcn,0.01,0.016677704194260467,0.1185209713024281,0.6702060477433363,3
ml1m,lightgcn,0.025,0.016677704194260467,0.1185209713024281,0.6702060477433363,3
ml1m,lightgcn,0.05,0.016677704194260467,0.1185209713024281,0.6702060477433363,3
ml1m,lightgcn,0.1,0.016677704194260467,0.18128282451135036,0.607444194534414,3
ml1m,ngcf,0.01,-0.008313921636233733,0.09156732891832232,0.574458543320286,3
ml1m,ngcf,0.025,-0.008313921636233733,0.09156732891832232,0.574458543320286,3
ml1m,ngcf,0.05,-0.008313921636233733,0.09156732891832232,0.574458543320286,3
ml1m,ngcf,0.1,-0.008313921636233733,0.09156732891832232,0.574458543320286,3
