dataset,dataset_name,model,model_raw,n_seeds,F_in_mean,F_in_std,F_out_mean,F_out_std,NDCG10_mean,NDCG10_std,Recall10_mean,Recall10_std
lastfm,LastFM,BPR,weighted_bpr,3,0.6031554033066945,0.00017901552229409047,0.8706645719405434,0.0008096292419425343,0.14732117747284856,0.002819630862454828,0.1548154045765494,0.0016277156816308436
lastfm,LastFM,ItemKNN,weighted_itemknn,3,0.6031554033066945,0.00017901552229409047,0.5838103610417464,0.002006871753495995,0.16592775792238848,0.0035173941261504972,0.16577022882755177,0.0029540999943444674
lastfm,LastFM,LightGCN,weighted_lightgcn,3,0.6031554033066945,0.00017901552229409047,0.8708061147572455,0.0011599280540045076,0.1325866582598148,0.0030893186111822985,0.13816053314460838,0.003992632507853126
lastfm,LastFM,NGCF,weighted_ngcf,3,0.6031554033066945,0.00017901552229409047,0.8547233122094746,0.0016504690559121097,0.15270206528866284,0.0027088125841422664,0.16232307147912056,0.0027169139671739833
lastfm,LastFM,NeuMF,weighted_neumf,3,0.6031554033066945,0.00017901552229409047,0.8852080963566792,0.005464256268208554,0.1502971006294961,0.0013934147964815707,0.15946862467562917,0.0014988246582743033
ml1m,MovieLens-1M,BPR,weighted_bpr,3,0.48164611808667,0.0001347350157150885,0.6745548336153009,0.004734597605366796,0.25744667527546045,0.0017653895272001687,0.16494985121055653,0.002325931006567633
ml1m,MovieLens-1M,ItemKNN,weighted_itemknn,3,0.48164611808667,0.0001347350157150885,0.7435448998404665,0.0014617120769187138,0.256734547712082,0.0010547976062723343,0.1639959653560991,0.0020263113901524375
ml1m,MovieLens-1M,LightGCN,weighted_lightgcn,3,0.48164611808667,0.0001347350157150885,0.7887270190457644,0.0014254444486149597,0.23845866974011365,0.0007996954494647397,0.14625265054794925,0.0011762060732340594
ml1m,MovieLens-1M,NGCF,weighted_ngcf,3,0.48164611808667,0.0001347350157150885,0.6660258722386083,0.0019014203696323092,0.2540886002451314,0.0016878086455731534,0.1643993863025043,0.0012975226666865091
ml1m,MovieLens-1M,NeuMF,weighted_neumf,3,0.48164611808667,0.0001347350157150885,0.6689312133062502,0.010667532022154359,0.2340666812028509,0.001858707843871625,0.14795015100664458,0.0006683144973163887
