dataset,dataset_name,model,Fout_Fin_slope,Fout_Fin_slope_ci_low,Fout_Fin_slope_ci_high,mean_OutputGain,reversal_rate,attenuation_rate
lastfm,LastFM,BPR,0.20835710852629544,0.15840725918256568,0.246700988180103,0.03851955060155694,0.0,1.0
lastfm,LastFM,ItemKNN,0.8120567562564908,0.7159737941277325,0.8963279780347034,0.1835522823779193,0.0,1.0
lastfm,LastFM,LightGCN,0.12333444726387109,0.09974705409204579,0.1416491534773131,0.02607041755130926,0.0,1.0
lastfm,LastFM,NGCF,0.050778608001674184,0.040884452495736016,0.06147573292425077,0.013543878273177573,0.0,1.0
lastfm,LastFM,NeuMF,0.03717679617821237,0.028396450599323515,0.04630396802596324,0.006818382873319167,0.25,1.0
ml1m,MovieLens-1M,BPR,0.632854226873928,0.5148038151334989,0.7236364449252676,0.10517788410863999,0.041666666666666664,1.0
ml1m,MovieLens-1M,ItemKNN,0.9463516940324666,0.8168525901311462,1.0302196731145186,0.151661075885012,0.0,0.9583333333333334
ml1m,MovieLens-1M,LightGCN,0.08252292947941402,0.06326546407686275,0.10367256394020388,0.019886175496688682,0.0,1.0
ml1m,MovieLens-1M,NGCF,-0.001427780875961371,-0.016574966923468736,0.016039632055286416,-0.0038958423029992174,0.8333333333333334,1.0
ml1m,MovieLens-1M,NeuMF,0.3984258165321441,0.2389060343633329,0.5598709774945667,0.07290615094287936,0.08333333333333333,0.9166666666666666
