InputGain,OutputGain,dataset,dataset_name,model,intervention_family,seed,intervention_parameter,realization_ratio,reversed_frozen
0.5067784724855492,0.085031847133758,lastfm,LastFM,BPR,minimum-perturbation KL,0,0.1,0.16778898818789642,False
0.3875019064414419,0.035031847133758,lastfm,LastFM,BPR,minimum-perturbation KL,0,0.5,0.0904043220211922,False
0.1677256560444632,0.0116772823779192,lastfm,LastFM,BPR,minimum-perturbation KL,0,2.0,0.06962132480688353,False
0.0392077642902811,0.0031316348195329,lastfm,LastFM,BPR,minimum-perturbation KL,0,8.0,0.07987282305482479,False
0.0631224669717765,0.0056794055201698,lastfm,LastFM,BPR,inverse-power,0,0.1,0.08997439093610192,False
0.1325571013296966,0.0112526539278132,lastfm,LastFM,BPR,inverse-power,0,0.2,0.08488910676935782,False
0.2582681543325761,0.0255838641188961,lastfm,LastFM,BPR,inverse-power,0,0.4,0.09905930595667378,False
0.5048235617413357,0.1115711252653929,lastfm,LastFM,BPR,inverse-power,0,0.8,0.22101013843438697,False
0.5065105930723104,0.0901804670912952,lastfm,LastFM,BPR,minimum-perturbation KL,1,0.1,0.17804260823903612,False
0.3876643920727339,0.0398089171974522,lastfm,LastFM,BPR,minimum-perturbation KL,1,0.5,0.1026891249531714,False
0.1678646939117058,0.0140658174097664,lastfm,LastFM,BPR,minimum-perturbation KL,1,2.0,0.08379258962676689,False
0.0391313201721853,0.003343949044586,lastfm,LastFM,BPR,minimum-perturbation KL,1,8.0,0.08545454203619976,False
0.0629938730894987,0.0059978768577494,lastfm,LastFM,BPR,inverse-power,1,0.1,0.09521365433790524,False
0.1322930568850213,0.0128980891719745,lastfm,LastFM,BPR,inverse-power,1,0.2,0.0974963424058188,False
0.2565817590352239,0.0289808917197452,lastfm,LastFM,BPR,inverse-power,1,0.4,0.11294992999002186,False
0.5038579953376617,0.1178874734607219,lastfm,LastFM,BPR,inverse-power,1,0.8,0.23396963936578857,False
0.5068456495361711,0.0951167728237791,lastfm,LastFM,BPR,minimum-perturbation KL,2,0.1,0.18766417924435808,False
0.3878238622080342,0.039384288747346,lastfm,LastFM,BPR,minimum-perturbation KL,2,0.5,0.1015519997225434,False
0.1678791863021119,0.0122080679405519,lastfm,LastFM,BPR,minimum-perturbation KL,2,2.0,0.07271936569064918,False
0.0391606835696599,0.0041401273885349,lastfm,LastFM,BPR,minimum-perturbation KL,2,8.0,0.10572153014567146,False
0.0630355432859616,0.0064225053078554,lastfm,LastFM,BPR,inverse-power,2,0.1,0.10188704614981452,False
0.1323946669345214,0.0123673036093417,lastfm,LastFM,BPR,inverse-power,2,0.2,0.09341240017967048,False
0.2571152872796564,0.0290870488322717,lastfm,LastFM,BPR,inverse-power,2,0.4,0.11312843020739803,False
0.5043853412477096,0.123619957537155,lastfm,LastFM,BPR,inverse-power,2,0.8,0.24509030581926405,False
0.5067784724855492,0.3652335456475584,lastfm,LastFM,ItemKNN,minimum-perturbation KL,0,0.1,0.7206966465174249,False
0.3875019064414419,0.2309978768577494,lastfm,LastFM,ItemKNN,minimum-perturbation KL,0,0.5,0.596120620357921,False
0.1677256560444632,0.0834394904458598,lastfm,LastFM,ItemKNN,minimum-perturbation KL,0,2.0,0.49747601180191786,False
0.0392077642902811,0.0216029723991506,lastfm,LastFM,ItemKNN,minimum-perturbation KL,0,8.0,0.5509871014120943,False
0.0631224669717765,0.0360403397027599,lastfm,LastFM,ItemKNN,inverse-power,0,0.1,0.5709589854730229,False
0.1325571013296966,0.0790339702760084,lastfm,LastFM,ItemKNN,inverse-power,0,0.2,0.5962258489602512,False
0.2582681543325761,0.2062101910828025,lastfm,LastFM,ItemKNN,inverse-power,0,0.4,0.7984344473893683,False
0.5048235617413357,0.4445859872611464,lastfm,LastFM,ItemKNN,inverse-power,0,0.8,0.8806759845511051,False
0.5065105930723104,0.3597133757961783,lastfm,LastFM,ItemKNN,minimum-perturbation KL,1,0.1,0.7101793737704217,False
