dataset,model,seed,budget,post_lambda,post_util_loss,post_delta_F_out,post_F_out,post_Tail,pre_label,pre_family,pre_util_loss,pre_OutputGain,pre_F_out,pre_Tail,pre_InputGain,post_InputGain
lastfm,lightgcn,0,0.01,0.5,0.0146992982791196,0.0459660297239915,0.8250700921103947,0.0159766454352441,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492,0.0
lastfm,lightgcn,0,0.025,1.0,0.0216442071028839,0.0657643312101912,0.8052717906241951,0.0188428874734607,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492,0.0
lastfm,lightgcn,0,0.05,1.0,0.0216442071028839,0.0657643312101912,0.8052717906241951,0.0188428874734607,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492,0.0
lastfm,lightgcn,0,0.1,1.0,0.0216442071028839,0.0657643312101912,0.8052717906241951,0.0188428874734607,kl_lam0.1,kl,0.0,0.0540339702760086,0.8170021515583776,0.0339702760084925,0.5067784724855492,0.0
lastfm,lightgcn,1,0.01,0.5,0.0088570051476927,0.0418789808917197,0.8302187120679319,0.0153397027600849,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104,0.0
lastfm,lightgcn,1,0.025,0.9,0.0152471143314283,0.0586518046709129,0.8134458882887386,0.0170912951167728,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104,0.0
lastfm,lightgcn,1,0.05,0.9,0.0152471143314283,0.0586518046709129,0.8134458882887386,0.0170912951167728,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104,0.0
lastfm,lightgcn,1,0.1,0.9,0.0152471143314283,0.0586518046709129,0.8134458882887386,0.0170912951167728,kl_lam0.1,kl,0.0,0.055732484076433,0.8163652088832185,0.0295647558386411,0.5065105930723104,0.0
lastfm,lightgcn,2,0.01,0.25,0.0104541030492132,0.029511677282378,0.8397728521953203,0.0148619957537154,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711,0.0
lastfm,lightgcn,2,0.025,0.5,0.0299441053832937,0.0472399150743099,0.8220446144033884,0.0169851380042462,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711,0.0
lastfm,lightgcn,2,0.05,1.0,0.0386356653124615,0.0688428874734606,0.8004416420042376,0.0195859872611464,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711,0.0
lastfm,lightgcn,2,0.1,1.0,0.0386356653124615,0.0688428874734606,0.8004416420042376,0.0195859872611464,kl_lam0.1,kl,0.0,0.057484076433121,0.8118004530445773,0.0371019108280254,0.5068456495361711,0.0
lastfm,ngcf,0,0.01,0.1,0.0121466877567004,0.0391719745222929,0.8169490730021145,0.0139065817409766,kl_lam8.0,kl,0.013265896774041,0.000212314225053,0.8559087332993544,0.0066348195329087,0.0392077642902811,0.0
lastfm,ngcf,0,0.025,0.25,0.024046116961499,0.0559447983014862,0.8001762492229212,0.0178343949044585,legacy_a0.2,legacy,0.028230777210862,0.006475583864119,0.8496454636602884,0.0084925690021231,0.1325571013296966,0.0
lastfm,ngcf,0,0.05,0.5,0.0467736222274499,0.0936305732484076,0.7624904742759998,0.0216029723991507,kl_lam2.0,kl,0.038498779929959,0.0058917197452229,0.8502293277791845,0.0094479830148619,0.1677256560444632,0.0
lastfm,ngcf,0,0.1,1.0,0.0858539595470088,0.146656050955414,0.7094649965689934,0.025212314225053,kl_lam0.5,kl,0.1112280692035369,0.0178343949044585,0.8382866526199488,0.0111995753715498,0.3875019064414419,0.0
lastfm,ngcf,1,0.01,0.1,0.0081079927197744,0.03880042462845,0.8136051239575285,0.0139065817409766,legacy_a0.1,legacy,0.0121662451220782,0.0033439490445859,0.8490615995413926,0.00828025477707,0.0629938730894987,0.0
lastfm,ngcf,1,0.025,0.25,0.0198044455291925,0.0566878980891719,0.7957176504968065,0.0180997876857749,legacy_a0.2,legacy,0.0282195438644177,0.0075902335456474,0.844815315040331,0.0091295116772823,0.1322930568850213,0.0
lastfm,ngcf,1,0.05,0.75,0.0591181889968183,0.1283439490445859,0.7240615995413926,0.025,kl_lam2.0,kl,0.0392440576265663,0.0077494692144373,0.8446560793715412,0.0086518046709129,0.1678646939117058,0.0
lastfm,ngcf,1,0.1,1.0,0.0688358482558535,0.1502653927813162,0.7021401558046623,0.0252653927813163,kl_lam0.5,kl,0.0959226833298668,0.0194267515923566,0.8329787969936219,0.0125796178343949,0.3876643920727339,0.0
lastfm,ngcf,2,0.01,0.1,0.0097816940946509,0.0404989384288747,0.8151444020891633,0.0153397027600849,legacy_a0.2,legacy,0.011968413008585,0.0096602972399151,0.8459830432781229,0.0101380042462845,0.1323946669345214,0.0
lastfm,ngcf,2,0.025,0.25,0.0200128040002451,0.0579087048832271,0.7977346356348108,0.0198513800424628,kl_lam2.0,kl,0.0234446189798951,0.0086518046709129,0.846991535847125,0.0104564755838641,0.1678791863021119,0.0
lastfm,ngcf,2,0.05,0.5,0.0410989381287271,0.0970276008492568,0.7586157396687812,0.0242038216560509,legacy_a0.4,legacy,0.0423997703474057,0.0192144373673036,0.8364289031507344,0.0091825902335456,0.2571152872796564,0.0
lastfm,ngcf,2,0.1,1.0,0.072986676317204,0.1485138004246284,0.7071295400934096,0.0279723991507431,legacy_a0.8,legacy,0.0960062695544505,0.0211783439490446,0.8344649965689934,0.0093949044585987,0.5043853412477096,0.0
ml1m,lightgcn,0,0.01,0.1,0.0422679086683862,0.1203311258278144,0.6703495356020559,0.0050496688741721,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061,0.0
ml1m,lightgcn,0,0.025,0.1,0.0422679086683862,0.1203311258278144,0.6703495356020559,0.0050496688741721,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061,0.0
ml1m,lightgcn,0,0.05,0.1,0.0422679086683862,0.1203311258278144,0.6703495356020559,0.0050496688741721,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061,0.0
ml1m,lightgcn,0,0.1,0.25,0.0967380741942493,0.1834848112663173,0.607195850163553,0.007433774834437,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061,0.0
ml1m,lightgcn,1,0.01,0.1,0.0425683050321188,0.1168708609271522,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115,0.0
ml1m,lightgcn,1,0.025,0.1,0.0425683050321188,0.1168708609271522,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115,0.0
ml1m,lightgcn,1,0.05,0.1,0.0425683050321188,0.1168708609271522,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115,0.0
ml1m,lightgcn,1,0.1,0.25,0.0998458049400268,0.1791967317961186,0.6081230024814339,0.0074503311258278,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115,0.0
