dataset,dataset_name,model,model_raw,seed,intervention_family,intervention_family_code,intervention_parameter,label,configuration_type,F_in_baseline,F_in_intervention,F_out_baseline,F_out_intervention,InputGain,OutputGain,realization_ratio,attenuated_frozen,reversed_frozen,NDCG10_baseline,NDCG10_intervention,relative_NDCG_loss,Recall10_baseline,Recall10_intervention,evidence_tier
lastfm,LastFM,BPR,weighted_bpr,0,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6032541089172111,0.0964756364316619,0.8717261430658088,0.7866942959320508,0.5067784724855492,0.085031847133758,0.16778898818789642,True,False,0.1433854467937328,0.118517004331022,0.1734377024921175,0.153149327671619,0.1267073602264677,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6032541089172111,0.2157522024757692,0.8717261430658088,0.8366942959320507,0.3875019064414419,0.035031847133758,0.0904043220211922,True,False,0.1433854467937328,0.1270723798816014,0.1137707297142825,0.153149327671619,0.1361288039631978,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6032541089172111,0.4355284528727479,0.8717261430658088,0.8600488606878895,0.1677256560444632,0.0116772823779192,0.06962132480688353,True,False,0.1433854467937328,0.1384008633074978,0.0347635244559061,0.153149327671619,0.1507430997876841,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6032541089172111,0.5640463446269299,0.8717261430658088,0.8685945082462758,0.0392077642902811,0.0031316348195329,0.07987282305482479,True,False,0.1433854467937328,0.1430646602065839,0.0022372325387409,0.153149327671619,0.1526185421089863,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6032541089172111,0.5401316419454345,0.8717261430658088,0.8660467375456389,0.0631224669717765,0.0056794055201698,0.08997439093610192,True,False,0.1433854467937328,0.144690330420718,0.0,0.153149327671619,0.154821302193912,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6032541089172111,0.4706970075875144,0.8717261430658088,0.8604734891379955,0.1325571013296966,0.0112526539278132,0.08488910676935782,True,False,0.1433854467937328,0.1416289072014921,0.0122504733326777,0.153149327671619,0.1521762208067924,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6032541089172111,0.344985954584635,0.8717261430658088,0.8461422789469126,0.2582681543325761,0.0255838641188961,0.09905930595667378,True,False,0.1433854467937328,0.134373098440906,0.0628539963737848,0.153149327671619,0.1447983014861982,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,0,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6032541089172111,0.0984305471758753,0.8717261430658088,0.7601550178004158,0.5048235617413357,0.1115711252653929,0.22101013843438697,True,False,0.1433854467937328,0.1164325206719693,0.187975326118951,0.153149327671619,0.1249557678697798,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.602904152661743,0.0963935595894326,0.8705053362717535,0.7803248691804583,0.5065105930723104,0.0901804670912952,0.17804260823903612,True,False,0.1498440160701963,0.1194801148743177,0.2026367284607095,0.1570240622788376,0.1254157820240614,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.602904152661743,0.2152397605890091,0.8705053362717535,0.8306964190743013,0.3876643920727339,0.0398089171974522,0.1026891249531714,True,False,0.1498440160701963,0.1314416323474366,0.1228102676728771,0.1570240622788376,0.1387384996461418,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.602904152661743,0.4350394587500372,0.8705053362717535,0.8564395188619871,0.1678646939117058,0.0140658174097664,0.08379258962676689,True,False,0.1498440160701963,0.1458859634192985,0.0264144859080897,0.1570240622788376,0.1526185421089863,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.602904152661743,0.5637728324895577,0.8705053362717535,0.8671613872271675,0.0391313201721853,0.003343949044586,0.08545454203619976,True,False,0.1498440160701963,0.1503777193475437,0.0,0.1570240622788376,0.1581121726822346,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.602904152661743,0.5399102795722442,0.8705053362717535,0.8645074594140041,0.0629938730894987,0.0059978768577494,0.09521365433790524,True,False,0.1498440160701963,0.1500534641502764,0.0,0.1570240622788376,0.1576875442321285,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.602904152661743,0.4706110957767217,0.8705053362717535,0.857607247099779,0.1322930568850213,0.0128980891719745,0.0974963424058188,True,False,0.1498440160701963,0.1480407856093208,0.0120340505291228,0.1570240622788376,0.1554051663128079,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.602904152661743,0.3463223936265191,0.8705053362717535,0.8415244445520083,0.2565817590352239,0.0289808917197452,0.11294992999002186,True,False,0.1498440160701963,0.1419810031427479,0.0524746542015055,0.1570240622788376,0.1495576786978045,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,1,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.602904152661743,0.0990461573240812,0.8705053362717535,0.7526178628110316,0.5038579953376617,0.1178874734607219,0.23396963936578857,True,False,0.1498440160701963,0.1186250052705491,0.2083433934727309,0.1570240622788376,0.1255219391365879,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6033079483411292,0.0964622988049581,0.8697622364840677,0.7746454636602885,0.5068456495361711,0.0951167728237791,0.18766417924435808,True,False,0.1487340695546166,0.116418551242855,0.217270450600392,0.1542728237791916,0.1203998584571825,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6033079483411292,0.215484086133095,0.8697622364840677,0.8303779477367217,0.3878238622080342,0.039384288747346,0.1015519997225434,True,False,0.1487340695546166,0.1277338750300619,0.1411928994307738,0.1542728237791916,0.131679051663127,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6033079483411292,0.4354287620390172,0.8697622364840677,0.8575541685435157,0.1678791863021119,0.0122080679405519,0.07271936569064918,True,False,0.1487340695546166,0.1427654709296646,0.0401293304407314,0.1542728237791916,0.1486907289455044,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6033079483411292,0.5641472647714693,0.8697622364840677,0.8656221090955327,0.0391606835696599,0.0041401273885349,0.10572153014567146,True,False,0.1487340695546166,0.1474596286289907,0.0085685877448398,0.1542728237791916,0.1531050955413997,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6033079483411292,0.5402724050551676,0.8697622364840677,0.8633397311762122,0.0630355432859616,0.0064225053078554,0.10188704614981452,True,False,0.1487340695546166,0.1471696775384338,0.0105180475520325,0.1542728237791916,0.1527866242038201,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6033079483411292,0.4709132814066078,0.8697622364840677,0.8573949328747259,0.1323946669345214,0.0123673036093417,0.09341240017967048,True,False,0.1487340695546166,0.14507355260356,0.0246111530600755,0.1542728237791916,0.1499203821656035,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6033079483411292,0.3461926610614728,0.8697622364840677,0.8406751876517959,0.2571152872796564,0.0290870488322717,0.11312843020739803,True,False,0.1487340695546166,0.1377569408992449,0.0738037269352114,0.1542728237791916,0.1436748053786257,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6033079483411292,0.0989226070934196,0.8697622364840677,0.7461422789469127,0.5043853412477096,0.123619957537155,0.24509030581926405,True,False,0.1487340695546166,0.1151944656966473,0.2255004785279087,0.1542728237791916,0.1208244869072887,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6032541089172111,0.0964756364316619,0.5819172258683565,0.2166836802207981,0.5067784724855492,0.3652335456475584,0.7206966465174249,True,False,0.1702847354481083,0.1082055963009014,0.364560798616765,0.1671797593772099,0.1075106157112524,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6032541089172111,0.2157522024757692,0.5819172258683565,0.350919349010607,0.3875019064414419,0.2309978768577494,0.596120620357921,True,False,0.1702847354481083,0.135159700835921,0.2062723621101735,0.1671797593772099,0.1349168435951868,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6032541089172111,0.4355284528727479,0.5819172258683565,0.4984777354224967,0.1677256560444632,0.0834394904458598,0.49747601180191786,True,False,0.1702847354481083,0.1599866445024299,0.0604757139186829,0.1671797593772099,0.1582979476291563,PRIMARY
