n,attenuation_n,attenuation_rate,reversal_n,reversal_rate,n_OutputGain_zero,n_OutputGain_negative,realization_ratio_mean,realization_ratio_median,realization_ratio_q25,realization_ratio_q75,slice,dataset,model,family,intervention_parameter
240,237,0.9875,29,0.12083333333333333,1,28,0.2707880348401116,0.11149107407417141,0.05269676366607111,0.5339865179922287,PRIMARY_ALL,,,,
120,120,1.0,6,0.05,1,5,0.1863015881725201,0.08434084819806235,0.04905412834198182,0.14952284392277598,dataset,lastfm,,,
120,117,0.975,23,0.19166666666666668,0,23,0.3552744815077031,0.3560858843090505,0.08169174495421966,0.625360794450278,dataset,ml1m,,,
48,48,1.0,1,0.020833333333333332,0,1,0.309788185864279,0.22748988890008776,0.09866856506896003,0.5146168198513981,model,,BPR,,
48,47,0.9791666666666666,0,0.0,0,0,0.6870223046823482,0.658901474008043,0.5780169930584002,0.7564570513592815,model,,ItemKNN,,
48,48,1.0,0,0.0,0,0,0.11156271718954891,0.09926517737228632,0.08087994536279458,0.14555696811837054,model,,LightGCN,,
48,46,0.9583333333333334,8,0.16666666666666666,1,7,0.24174350593316718,0.07262092754549018,0.016338530244727353,0.43050254350027717,model,,NeuMF,,
48,48,1.0,20,0.4166666666666667,0,20,0.0038234605312147223,0.026484526869930927,-0.01760496539485635,0.05320004230188141,model,,NGCF,,
24,24,1.0,0,0.0,0,0,0.1213918370117248,0.1003056528396086,0.08884442871112638,0.12679356970252262,dataset_model,lastfm,BPR,,
24,24,1.0,0,0.0,0,0,0.6502320621402347,0.5961732346590861,0.5509141446168826,0.7535365585449061,dataset_model,lastfm,ItemKNN,,
24,24,1.0,0,0.0,0,0,0.09102130389138054,0.088758114713125,0.07251020379443913,0.10434113021316788,dataset_model,lastfm,LightGCN,,
24,24,1.0,6,0.25,1,5,0.016736997638387693,0.019795037896308397,0.0031833628735482016,0.03158199724553222,dataset_model,lastfm,NeuMF,,
24,24,1.0,0,0.0,0,0,0.052125740180872716,0.052309808541983444,0.04509064456151345,0.06330024822925166,dataset_model,lastfm,NGCF,,
24,24,1.0,1,0.041666666666666664,0,1,0.49818453471683316,0.5180899692563173,0.4043554349164393,0.6219674232495198,dataset_model,ml1m,BPR,,
24,23,0.9583333333333334,0,0.0,0,0,0.7238125472244619,0.707125363683979,0.6289200272839436,0.7949191478571876,dataset_model,ml1m,ItemKNN,,
24,24,1.0,0,0.0,0,0,0.13210413048771727,0.13895848671791683,0.08849808926895407,0.16767620091871926,dataset_model,ml1m,LightGCN,,
24,22,0.9166666666666666,2,0.08333333333333333,0,2,0.46675001422794665,0.4362257491092412,0.2788353084436102,0.612625250403485,dataset_model,ml1m,NeuMF,,
24,24,1.0,20,0.8333333333333334,0,20,-0.044478819118443265,-0.01917759317978842,-0.03457164345368867,-0.004586523546005867,dataset_model,ml1m,NGCF,,
120,119,0.9916666666666667,16,0.13333333333333333,1,15,0.24407345115551518,0.09584979443614852,0.04612973505156169,0.4774344031877661,family,,,minimum-perturbation KL,
120,118,0.9833333333333333,13,0.10833333333333334,0,13,0.29750261852470816,0.13987481184621153,0.0659099676689939,0.5737658184504211,family,,,inverse-power,
30,30,1.0,2,0.06666666666666667,0,2,0.31499640931081163,0.1406021687930665,0.05022856194527506,0.6435203967433647,family_strength,,,minimum-perturbation KL,0.1
30,30,1.0,4,0.13333333333333333,0,4,0.2212118092133644,0.07414227578220411,0.04322389671750892,0.46706269218219154,family_strength,,,minimum-perturbation KL,0.5
30,30,1.0,5,0.16666666666666666,0,5,0.17956188943647092,0.08494642977183493,0.04727166848755322,0.41017317765260375,family_strength,,,minimum-perturbation KL,2.0
30,29,0.9666666666666667,5,0.16666666666666666,1,4,0.26052369666141356,0.12048392990198736,0.058314419693420515,0.5468478243220165,family_strength,,,minimum-perturbation KL,8.0
30,29,0.9666666666666667,3,0.1,0,3,0.2887323020110681,0.14333125138205638,0.0671858285502868,0.5554026473441234,family_strength,,,inverse-power,0.1
30,30,1.0,5,0.16666666666666666,0,5,0.2459921677698696,0.09860050041415969,0.05098205651752848,0.5757269177407717,family_strength,,,inverse-power,0.2
30,30,1.0,3,0.1,0,3,0.2963887996779769,0.13395104827762577,0.0779761266369044,0.5603035882765919,family_strength,,,inverse-power,0.4
30,29,0.9666666666666667,2,0.06666666666666667,0,2,0.35889720463991764,0.1822221338010614,0.06330024822925166,0.7016569177905256,family_strength,,,inverse-power,0.8
