dataset,dataset_name,model,realization_slope_beta1_Fin_Fout,slope_ci_low_95,slope_ci_high_95,reversal_rate,mean_OutputGain,N
lastfm,LastFM,BPR,0.20835710852629513,0.1584072591825657,0.24670098818010208,0.0,0.03851955060155694,24
lastfm,LastFM,ItemKNN,0.8120567562564904,0.7159737941277332,0.8963279780347038,0.0,0.1835522823779193,24
lastfm,LastFM,LightGCN,0.12333444726387152,0.09974705409204604,0.14164915347731308,0.0,0.02607041755130926,24
lastfm,LastFM,NGCF,0.05077860800167414,0.040884452495737016,0.06147573292425117,0.0,0.013543878273177573,24
lastfm,LastFM,NeuMF,0.03717679617821206,0.02839645059932258,0.046303968025962185,0.25,0.006818382873319167,24
ml1m,MovieLens-1M,BPR,0.6328542268739271,0.5148038151334993,0.7236364449252681,0.041666666666666664,0.10517788410863999,24
ml1m,MovieLens-1M,ItemKNN,0.9463516940324659,0.8168525901311458,1.030219673114518,0.0,0.151661075885012,24
ml1m,MovieLens-1M,LightGCN,0.08252292947941299,0.06326546407686151,0.10367256394020406,0.0,0.019886175496688682,24
ml1m,MovieLens-1M,NGCF,-0.0014277808759622199,-0.01657496692346832,0.01603963205528785,0.8333333333333334,-0.0038958423029992174,24
ml1m,MovieLens-1M,NeuMF,0.3984258165321434,0.23890603436333177,0.559870977494567,0.08333333333333333,0.07290615094287936,24
