intervention_family,intervention_parameter,InputGain,OutputGain,realization_ratio,relative_NDCG_loss,dataset,model
minimum-perturbation KL,0.1,0.5067784724855492,0.085031847133758,0.16778898818789642,0.1734377024921175,lastfm,BPR
minimum-perturbation KL,0.5,0.3875019064414419,0.035031847133758,0.0904043220211922,0.1137707297142825,lastfm,BPR
minimum-perturbation KL,2.0,0.1677256560444632,0.0116772823779192,0.06962132480688353,0.0347635244559061,lastfm,BPR
minimum-perturbation KL,8.0,0.0392077642902811,0.0031316348195329,0.07987282305482479,0.0022372325387409,lastfm,BPR
inverse-power,0.1,0.0631224669717765,0.0056794055201698,0.08997439093610192,0.0,lastfm,BPR
inverse-power,0.2,0.1325571013296966,0.0112526539278132,0.08488910676935782,0.0122504733326777,lastfm,BPR
inverse-power,0.4,0.2582681543325761,0.0255838641188961,0.09905930595667378,0.0628539963737848,lastfm,BPR
inverse-power,0.8,0.5048235617413357,0.1115711252653929,0.22101013843438697,0.187975326118951,lastfm,BPR
minimum-perturbation KL,0.1,0.5065105930723104,0.0901804670912952,0.17804260823903612,0.2026367284607095,lastfm,BPR
minimum-perturbation KL,0.5,0.3876643920727339,0.0398089171974522,0.1026891249531714,0.1228102676728771,lastfm,BPR
minimum-perturbation KL,2.0,0.1678646939117058,0.0140658174097664,0.08379258962676689,0.0264144859080897,lastfm,BPR
minimum-perturbation KL,8.0,0.0391313201721853,0.003343949044586,0.08545454203619976,0.0,lastfm,BPR
inverse-power,0.1,0.0629938730894987,0.0059978768577494,0.09521365433790524,0.0,lastfm,BPR
inverse-power,0.2,0.1322930568850213,0.0128980891719745,0.0974963424058188,0.0120340505291228,lastfm,BPR
inverse-power,0.4,0.2565817590352239,0.0289808917197452,0.11294992999002186,0.0524746542015055,lastfm,BPR
inverse-power,0.8,0.5038579953376617,0.1178874734607219,0.23396963936578857,0.2083433934727309,lastfm,BPR
minimum-perturbation KL,0.1,0.5068456495361711,0.0951167728237791,0.18766417924435808,0.217270450600392,lastfm,BPR
minimum-perturbation KL,0.5,0.3878238622080342,0.039384288747346,0.1015519997225434,0.1411928994307738,lastfm,BPR
minimum-perturbation KL,2.0,0.1678791863021119,0.0122080679405519,0.07271936569064918,0.0401293304407314,lastfm,BPR
minimum-perturbation KL,8.0,0.0391606835696599,0.0041401273885349,0.10572153014567146,0.0085685877448398,lastfm,BPR
inverse-power,0.1,0.0630355432859616,0.0064225053078554,0.10188704614981452,0.0105180475520325,lastfm,BPR
inverse-power,0.2,0.1323946669345214,0.0123673036093417,0.09341240017967048,0.0246111530600755,lastfm,BPR
inverse-power,0.4,0.2571152872796564,0.0290870488322717,0.11312843020739803,0.0738037269352114,lastfm,BPR
inverse-power,0.8,0.5043853412477096,0.123619957537155,0.24509030581926405,0.2255004785279087,lastfm,BPR
minimum-perturbation KL,0.1,0.5067784724855492,0.3652335456475584,0.7206966465174249,0.364560798616765,lastfm,ItemKNN
