dataset,model,family,regime,n
lastfm,weighted_bpr,kl,B_ATTENUATED,12
lastfm,weighted_bpr,legacy,B_ATTENUATED,12
lastfm,weighted_itemknn,kl,A_POSITIVE,10
lastfm,weighted_itemknn,kl,B_ATTENUATED,2
lastfm,weighted_itemknn,legacy,A_POSITIVE,12
lastfm,weighted_lightgcn,kl,B_ATTENUATED,12
lastfm,weighted_lightgcn,legacy,B_ATTENUATED,12
lastfm,weighted_neumf,kl,B_ATTENUATED,8
lastfm,weighted_neumf,kl,D_FAILED_REVERSED,4
lastfm,weighted_neumf,legacy,B_ATTENUATED,10
lastfm,weighted_neumf,legacy,D_FAILED_REVERSED,2
lastfm,weighted_ngcf,kl,B_ATTENUATED,12
lastfm,weighted_ngcf,legacy,B_ATTENUATED,12
ml1m,weighted_bpr,kl,A_POSITIVE,5
ml1m,weighted_bpr,kl,B_ATTENUATED,6
ml1m,weighted_bpr,kl,D_FAILED_REVERSED,1
ml1m,weighted_bpr,legacy,A_POSITIVE,8
ml1m,weighted_bpr,legacy,B_ATTENUATED,4
ml1m,weighted_itemknn,kl,A_POSITIVE,9
ml1m,weighted_itemknn,kl,B_ATTENUATED,3
ml1m,weighted_itemknn,legacy,A_POSITIVE,12
ml1m,weighted_lightgcn,kl,B_ATTENUATED,12
ml1m,weighted_lightgcn,legacy,B_ATTENUATED,12
ml1m,weighted_neumf,kl,A_POSITIVE,3
ml1m,weighted_neumf,kl,B_ATTENUATED,7
ml1m,weighted_neumf,kl,C_AMPLIFIED,1
ml1m,weighted_neumf,kl,D_FAILED_REVERSED,1
ml1m,weighted_neumf,legacy,A_POSITIVE,5
ml1m,weighted_neumf,legacy,B_ATTENUATED,5
ml1m,weighted_neumf,legacy,C_AMPLIFIED,1
ml1m,weighted_neumf,legacy,D_FAILED_REVERSED,1
ml1m,weighted_ngcf,kl,B_ATTENUATED,2
ml1m,weighted_ngcf,kl,D_FAILED_REVERSED,10
ml1m,weighted_ngcf,legacy,B_ATTENUATED,2
ml1m,weighted_ngcf,legacy,D_FAILED_REVERSED,10
