dataset,dataset_name,model,seed,intervention_family,family_name,parameter,label,Fin_base,Fin_intervention,Fout_base,Fout_intervention,InputGain,OutputGain,baseline_NDCG10,intervention_NDCG10,LU
lastfm,LastFM,NeuMF,0,kl,KL,2.0,kl_lam2.0,0.6032541089172111,0.4355284528727479,0.8795286908365094,0.8839342110063608,0.1677256560444632,-0.0044055201698514,0.1520693140339152,0.1470179563649119,0.0332174686332625
lastfm,LastFM,NeuMF,0,kl,KL,8.0,kl_lam8.0,0.6032541089172111,0.5640463446269299,0.8795286908365094,0.8836157396687812,0.0392077642902811,-0.0040870488322717,0.1520693140339152,0.1547501090599362,0.0
lastfm,LastFM,NeuMF,0,legacy,inverse-power,0.1,legacy_a0.1,0.6032541089172111,0.5401316419454345,0.8795286908365094,0.8822356972059361,0.0631224669717765,-0.0027070063694266,0.1520693140339152,0.1524672692469861,0.0
lastfm,LastFM,NeuMF,0,legacy,inverse-power,0.2,legacy_a0.2,0.6032541089172111,0.4706970075875144,0.8795286908365094,0.8815987545307769,0.1325571013296966,-0.0020700636942674,0.1520693140339152,0.1508067115206356,0.0083028092899662
lastfm,LastFM,NeuMF,1,kl,KL,2.0,kl_lam2.0,0.602904152661743,0.4350394587500372,0.8835095825562546,0.8849957821316261,0.1678646939117058,-0.0014861995753715,0.1501572190471255,0.1409150152568265,0.0615501795314845
lastfm,LastFM,NeuMF,2,kl,KL,8.0,kl_lam8.0,0.6033079483411292,0.5641472647714693,0.8925860156772737,0.8925860156772737,0.0391606835696599,0.0,0.1486647688074476,0.148546314010648,0.0007967913161257
ml1m,MovieLens-1M,BPR,2,kl,KL,8.0,kl_lam8.0,0.4816974356017932,0.4600216625567528,0.6781641051384797,0.6822700654033804,0.0216757730450404,-0.0041059602649007,0.256230755100286,0.2531567640681896,0.0119969635608079
ml1m,MovieLens-1M,NeuMF,0,kl,KL,0.5,kl_lam0.5,0.4817793780856189,0.1720720050023317,0.6554819859331817,0.7104323170590094,0.3097073730832871,-0.0549503311258277,0.2321541900162712,0.1831322771256975,0.2111610084967143
ml1m,MovieLens-1M,NeuMF,1,legacy,inverse-power,0.2,legacy_a0.2,0.4814615405725981,0.4077495386384426,0.6815747011649698,0.691078012423248,0.0737120019341555,-0.0095033112582781,0.2334612048717106,0.2240251473495436,0.0404180965627768
ml1m,MovieLens-1M,NGCF,0,kl,KL,0.1,kl_lam0.1,0.4817793780856189,0.066251857047852,0.6685534660575929,0.679422383284175,0.4155275210377668,-0.0108689172265821,0.256062302903253,0.2564066014339417,0.0
ml1m,MovieLens-1M,NGCF,0,kl,KL,0.5,kl_lam0.5,0.4817793780856189,0.1720720050023317,0.6685534660575929,0.6703581018191822,0.3097073730832871,-0.0018046357615892,0.256062302903253,0.2573714938702484,0.0
ml1m,MovieLens-1M,NGCF,0,kl,KL,2.0,kl_lam2.0,0.4817793780856189,0.3716493838966107,0.6685534660575929,0.6813098005027182,0.1101299941890081,-0.0127563344451252,0.256062302903253,0.2545525524137194,0.0058960279292031
ml1m,MovieLens-1M,NGCF,0,legacy,inverse-power,0.1,legacy_a0.1,0.4817793780856189,0.4470011189765671,0.6685534660575929,0.6816409263305327,0.0347782591090517,-0.0130874602729398,0.256062302903253,0.2571231351474434,0.0
ml1m,MovieLens-1M,NGCF,0,legacy,inverse-power,0.2,legacy_a0.2,0.4817793780856189,0.4081331695788509,0.6685534660575929,0.6803329793106652,0.0736462085067679,-0.0117795132530722,0.256062302903253,0.2577272785156259,0.0
ml1m,MovieLens-1M,NGCF,0,legacy,inverse-power,0.4,legacy_a0.4,0.4817793780856189,0.3183726014641878,0.6685534660575929,0.6755647673901353,0.1634067766214311,-0.0070113013325423,0.256062302903253,0.2557114066232007,0.0013703550896551
