dataset,model,model_raw,seed,label,family,F_out,OutputGain,Lexp_mean,Lexp_median,Lexp_Q75,Lexp_Q90,Lexp_Q95,l_exp_std,n_users,delta_Lexp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out,model_short,dataset_name,Q25_available,Lexp_Q25
lastfm,bpr,weighted_bpr,0,baseline,baseline,0.8717261430658088,0.0,0.8851542080611978,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0701257759299201,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,0.7866942959320508,0.085031847133758,0.8253854810206159,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1706912879714225,1884,0.0597687270405818,0.0,0.0,0.0,0.0,-0.1005655120415024,0.085031847133758,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,kl_lam0.5,kl,0.8366942959320507,0.035031847133758,0.854421146029635,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1366011289057185,1884,0.0307330620315627,0.0,0.0,0.0,0.0,-0.0664753529757984,0.035031847133758,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,kl_lam2.0,kl,0.8600488606878895,0.0116772823779192,0.8753344192869408,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0920501754136102,1884,0.009819788774257,0.0,0.0,0.0,0.0,-0.0219243994836901,0.0116772823779192,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,kl_lam8.0,kl,0.8685945082462758,0.0031316348195329,0.8835617520372618,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0731130317104783,1884,0.0015924560239359,0.0,0.0,0.0,0.0,-0.0029872557805581,0.0031316348195329,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,legacy_a0.1,legacy,0.8660467375456389,0.0056794055201698,0.8816508638081249,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0759430792101442,1884,0.0035033442530729,0.0,0.0,0.0,0.0,-0.0058173032802241,0.0056794055201698,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,legacy_a0.2,legacy,0.8604734891379955,0.0112526539278132,0.8769797943274428,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0870657159259708,1884,0.008174413733755,0.0,0.0,0.0,0.0,-0.0169399399960507,0.0112526539278132,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,legacy_a0.4,legacy,0.8461422789469126,0.0255838641188961,0.8666290363693919,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1051530407239868,1884,0.0185251716918058,0.0,0.0,0.0,0.0,-0.0350272647940667,0.0255838641188961,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,0,legacy_a0.8,legacy,0.7601550178004158,0.1115711252653929,0.8259678912211386,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1504865889775628,1884,0.0591863168400592,0.0,0.0,0.0,0.0,-0.0803608130476427,0.1115711252653929,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,baseline,baseline,0.8705053362717535,0.0,0.8836148366138911,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0785496626296521,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,kl_lam0.1,kl,0.7803248691804583,0.0901804670912952,0.8224661875177827,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1782558347883753,1884,0.0611486490961084,0.0,0.0,0.0,0.0,-0.0997061721587231,0.0901804670912952,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,kl_lam0.5,kl,0.8306964190743013,0.0398089171974522,0.8534654821717099,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1403095221368464,1884,0.0301493544421811,0.0,0.0,0.0,0.0,-0.0617598595071942,0.0398089171974522,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,kl_lam2.0,kl,0.8564395188619871,0.0140658174097664,0.8743257551375095,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0995696275857307,1884,0.0092890814763815,0.0,0.0,0.0,0.0,-0.0210199649560785,0.0140658174097664,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,kl_lam8.0,kl,0.8671613872271675,0.003343949044586,0.8812262413783846,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0835645250012533,1884,0.0023885952355064,0.0,0.0,0.0,0.0,-0.0050148623716011,0.003343949044586,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,legacy_a0.1,legacy,0.8645074594140041,0.0059978768577494,0.8797930059723236,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0863903047976693,1884,0.0038218306415674,0.0,0.0,0.0,0.0,-0.0078406421680171,0.0059978768577494,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,legacy_a0.2,legacy,0.857607247099779,0.0128980891719745,0.8757587828409457,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0920488850957368,1884,0.0078560537729454,0.0,0.0,0.0,0.0,-0.0134992224660846,0.0128980891719745,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,legacy_a0.4,legacy,0.8415244445520083,0.0289808917197452,0.8657264902001086,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1124592146790683,1884,0.0178883464137824,0.0,0.0,0.0,0.0,-0.0339095520494161,0.0289808917197452,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,1,legacy_a0.8,legacy,0.7526178628110316,0.1178874734607219,0.8209784798407446,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1576543251217818,1884,0.0626363567731465,0.0,0.0,0.0,0.0,-0.0791046624921296,0.1178874734607219,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,baseline,baseline,0.8697622364840677,0.0,0.8820756397571963,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.081956731616072,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,kl_lam0.1,kl,0.7746454636602885,0.0951167728237791,0.8188566078874261,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1812106904507038,1884,0.0632190318697701,0.0,0.0,0.0,0.0,-0.0992539588346318,0.0951167728237791,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,kl_lam0.5,kl,0.8303779477367217,0.039384288747346,0.851501575589969,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1400410856190798,1884,0.0305740641672273,0.0,0.0,0.0,0.0,-0.0580843540030077,0.039384288747346,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,kl_lam2.0,kl,0.8575541685435157,0.0122080679405519,0.8752280755430702,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0937933414613154,1884,0.006847564214126,0.0,0.0,0.0,0.0,-0.0118366098452434,0.0122080679405519,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,kl_lam8.0,kl,0.8656221090955327,0.0041401273885349,0.8796338305071931,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0875432581172496,1884,0.0024418092500031,0.0,0.0,0.0,0.0,-0.0055865265011775,0.0041401273885349,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,legacy_a0.1,legacy,0.8633397311762122,0.0064225053078554,0.8785722112190003,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0886768279315518,1884,0.0035034285381959,0.0,0.0,0.0,0.0,-0.0067200963154798,0.0064225053078554,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,legacy_a0.2,legacy,0.8573949328747259,0.0123673036093417,0.8755465860130284,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0912387111817474,1884,0.0065290537441679,0.0,0.0,0.0,0.0,-0.0092819795656754,0.0123673036093417,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,legacy_a0.4,legacy,0.8406751876517959,0.0290870488322717,0.8661510524261895,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1025197276644128,1884,0.0159245873310067,0.0,0.0,0.0,0.0,-0.0205629960483407,0.0290870488322717,BPR,LastFM,False,
lastfm,bpr,weighted_bpr,2,legacy_a0.8,legacy,0.7461422789469127,0.123619957537155,0.8192265473333813,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1569508984411703,1884,0.0628490924238149,0.0,0.0,0.0,0.0,-0.0749941668250983,0.123619957537155,BPR,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,baseline,baseline,0.5819172258683565,0.0,0.7240551336683788,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2259280263521103,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ItemKNN,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,kl_lam0.1,kl,0.2166836802207981,0.3652335456475584,0.5603570341895378,0.5000283559235525,0.6999943288152894,0.9000170135541314,0.9000170135541314,0.2259115887355488,1884,0.163698099478841,0.3999886576305789,0.200022684738842,0.0,0.0,1.643761656150433e-05,0.3652335456475584,ItemKNN,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,kl_lam0.5,kl,0.350919349010607,0.2309978768577494,0.619223708730843,0.600011342369421,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2368499567939818,1884,0.1048314249375358,0.3000056711847104,0.0,0.0,0.0,-0.0109219304418714,0.2309978768577494,ItemKNN,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,kl_lam2.0,kl,0.4984777354224967,0.0834394904458598,0.6838211545544731,0.7000170135541315,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2349515719380012,1884,0.0402339791139056,0.1999999999999999,0.0,0.0,0.0,-0.0090235455858908,0.0834394904458598,ItemKNN,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,kl_lam8.0,kl,0.5603142534692058,0.0216029723991506,0.7132269426306086,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2300029077050217,1884,0.0108281910377702,0.0,0.0,0.0,0.0,-0.0040748813529113,0.0216029723991506,ItemKNN,LastFM,False,
lastfm,itemknn,weighted_itemknn,0,legacy_a0.1,legacy,0.5458768861655965,0.0360403397027599,0.7061143107349266,0.8000170135541315,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2319548952492331,1884,0.0179408229334522,0.0999999999999999,0.0,0.0,0.0,-0.0060268688971227,0.0360403397027599,ItemKNN,LastFM,False,
