dataset,model,seed,configuration,F_in,F_out,InputGain,OutputGain,realization_ratio,NDCG10,Recall10,reversed_frozen,attenuated_frozen,evidence_tier,coverage_note
Gowalla,NGCF,0,baseline,0.3270867056117909,0.7984642545633311,0.0,0.0,,0.0720347856331085,0.1005110382382156,False,False,TARGETED_EXTERNAL,
Gowalla,NGCF,0,legacy_a0.8,0.0542381001360082,0.795687779246833,0.2728486054757826,0.0027764753164981,0.01017588237864215,0.0725425718622418,0.1012584125013466,False,True,TARGETED_EXTERNAL,
Gowalla,NGCF,0,kl_lam0.1,0.0521021843061236,0.7961834587967025,0.2749845213056672,0.0022807957666286,0.008294269640338461,0.0723633064753029,0.1013874445254844,False,True,TARGETED_EXTERNAL,
Gowalla,NGCF,1,baseline,0.3263082763826014,0.7979551782688707,0.0,0.0,,0.073703053491911,0.1032076760837811,False,False,TARGETED_EXTERNAL,
Gowalla,NGCF,1,legacy_a0.8,0.0540981592248629,0.7932529209174072,0.2722101171577385,0.0047022573514635,0.01727436658329149,0.0737975769991876,0.1037120714831964,False,True,TARGETED_EXTERNAL,
Gowalla,NGCF,1,kl_lam0.1,0.0519834221967003,0.7955136215671492,0.2743248541859011,0.0024415567017215,0.0089002387660687,0.0739964790165883,0.1038842524918462,False,True,TARGETED_EXTERNAL,
Gowalla,NGCF,2,baseline,0.3269068860938018,0.7960829832122694,0.0,0.0,,0.0713504421007283,0.0985544822615632,False,False,TARGETED_EXTERNAL,
Gowalla,NGCF,2,legacy_a0.8,0.0542240537584884,0.791879754596823,0.2726828323353134,0.0042032286154464,0.015414349995740702,0.0715864841898218,0.0997612712148261,False,True,TARGETED_EXTERNAL,
Gowalla,NGCF,2,kl_lam0.1,0.0520193214309054,0.7961499669352248,0.2748875646628964,-6.698372295532717e-05,-0.0002436768030502635,0.0713346807681102,0.0986772743276919,True,True,TARGETED_EXTERNAL,
Amazon Books,LightGCN,0,baseline,0.3477412115693961,0.8336132059343123,0.0,0.0,,0.0332484007966198,0.040885408967943,False,False,EXTERNAL_CASE_STUDY,LightGCN seed 0 only; not replicated
Amazon Books,LightGCN,0,kl_lam0.1,0.0531770875165927,0.7437703018444998,0.2945641240528033,0.0898429040898125,0.3050028729014785,0.0329037728281877,0.0406957976688864,False,True,EXTERNAL_CASE_STUDY,LightGCN seed 0 only; not replicated
Amazon Books,LightGCN,0,kl_lam2.0,0.2708191251496556,0.8122390441274244,0.0769220864197404,0.0213741618068878,0.27786768146479424,0.0335458649133859,0.0412265414465565,False,True,EXTERNAL_CASE_STUDY,LightGCN seed 0 only; not replicated
Amazon Books,LightGCN,0,legacy_a0.2,0.2749085983228698,0.8089489580760975,0.0728326132465262,0.0246642478582148,0.3386429067803794,0.0335866946657604,0.0413151784255698,False,True,EXTERNAL_CASE_STUDY,LightGCN seed 0 only; not replicated
Amazon Books,LightGCN,0,legacy_a0.8,0.0608734678450298,0.7272609843663925,0.2868677437243662,0.1063522215679197,0.3707360757510161,0.0330574781936873,0.0408294983563175,False,True,EXTERNAL_CASE_STUDY,LightGCN seed 0 only; not replicated
