dataset,dataset_name,model,model_raw,n,mean_InputGain,mean_OutputGain,median_OutputGain,Fout_Fin_slope,Fout_Fin_slope_ci_low,Fout_Fin_slope_ci_high,spearman_rho_Fin_Fout,attenuation_n,attenuation_rate,reversal_n,reversal_rate,mean_relative_NDCG_loss,mean_NDCG10_baseline,mean_NDCG10_intervention
lastfm,LastFM,BPR,weighted_bpr,24,0.2573134578157203,0.03851955060155694,0.019824840764331247,0.20835710852629544,0.15840725918256568,0.246700988180103,0.9513043478260867,24,1.0,0,0.0,0.08139988498181087,0.14732117747284856,0.13540156729969746
lastfm,LastFM,ItemKNN,weighted_itemknn,24,0.2573134578157203,0.1835522823779193,0.14288747346072186,0.8120567562564908,0.7159737941277325,0.8963279780347034,0.9504347826086955,24,1.0,0,0.0,0.16601563665719143,0.16592775792238848,0.13837116921442408
lastfm,LastFM,LightGCN,weighted_lightgcn,24,0.2573134578157203,0.02607041755130926,0.01786093418259025,0.12333444726387109,0.09974705409204579,0.1416491534773131,0.9234782608695651,24,1.0,0,0.0,0.0,0.1325866582598148,0.1344654399283885
lastfm,LastFM,NGCF,weighted_ngcf,24,0.2573134578157203,0.013543878273177573,0.0130307855626327,0.050778608001674184,0.040884452495736016,0.06147573292425077,0.9165217391304347,24,1.0,0,0.0,0.05852182985154697,0.15270206528866284,0.14375388988972718
lastfm,LastFM,NeuMF,weighted_neumf,24,0.2573134578157203,0.006818382873319167,0.0036889596602972,0.03717679617821237,0.028396450599323515,0.04630396802596324,0.7765217391304347,24,1.0,6,0.25,0.09906028478585432,0.1502971006294961,0.1355505324574197
ml1m,MovieLens-1M,BPR,weighted_bpr,24,0.18715882449742893,0.10517788410863999,0.06473909437488055,0.632854226873928,0.5148038151334989,0.7236364449252676,0.9356521739130433,24,1.0,1,0.041666666666666664,0.1509166929435127,0.25744667527546045,0.21858853743144205
ml1m,MovieLens-1M,ItemKNN,weighted_itemknn,24,0.18715882449742893,0.151661075885012,0.0862457168914368,0.9463516940324666,0.8168525901311462,1.0302196731145186,0.9617391304347825,23,0.9583333333333334,0,0.0,0.1106454109749827,0.256734547712082,0.22833883702271432
ml1m,MovieLens-1M,LightGCN,weighted_lightgcn,24,0.18715882449742893,0.019886175496688682,0.01606788079470195,0.08252292947941402,0.06326546407686275,0.10367256394020388,0.9252173913043478,24,1.0,0,0.0,0.00041383321612987914,0.23845866974011365,0.23947381963074518
ml1m,MovieLens-1M,NGCF,weighted_ngcf,24,0.18715882449742893,-0.0038958423029992174,-0.0022516556291389,-0.001427780875961371,-0.016574966923468736,0.016039632055286416,-0.04434782608695652,24,1.0,20,0.8333333333333334,0.0013569074759270418,0.2540886002451314,0.2546797978592488
ml1m,MovieLens-1M,NeuMF,weighted_neumf,24,0.18715882449742893,0.07290615094287936,0.0463159370941319,0.3984258165321441,0.2389060343633329,0.5598709774945667,0.737391304347826,22,0.9166666666666666,2,0.08333333333333333,0.15062415737792514,0.2340666812028509,0.19880327662825292
